Name,Grade,Teacher
Alex Smith,Junior,Ms. Foster
Jordan Brown,Freshman,Dr. Davis
Taylor Williams,Senior,Mr. Evans
Morgan Johnson,Junior,Ms. Clarke
Jamie Davis,Freshman,Mrs. Anderson
Drew Wilson,Sophomore,Mr. Lewis
Casey Taylor,Sophomore,Mrs. Hall
Skyler Martin,Junior,Dr. Garcia
Dakota Moore,Freshman,Mr. Brown
Avery Thompson,Senior,Ms. Foster
Peyton Smith,Sophomore,Mrs. Anderson
Skyler Brown,Junior,Mr. Lewis
Dakota Miller,Freshman,Ms. Clarke
Jordan Taylor,Senior,Mr. Evans
Avery Wilson,Junior,Ms. Foster
Jamie Anderson,Sophomore,Dr. Davis
Cameron Davis,Sophomore,Mr. Brown
Morgan Thompson,Freshman,Ms. Clarke
Jesse Moore,Senior,Mrs. Hall
Bailey White,Sophomore,Dr. Garcia
Logan Harris,Junior,Mrs. Anderson
Alexis Jones,Freshman,Mr. Lewis
Sydney Hall,Senior,Dr. Davis
Rowan Phillips,Sophomore,Ms. Clarke
Drew Hill,Junior,Mr. Brown
Kendall King,Senior,Dr. Garcia
Charlie Martin,Freshman,Mrs. Anderson
Mackenzie Walker,Sophomore,Mr. Evans
Sam Young,Junior,Ms. Foster
Cory Baker,Freshman,Mrs. Hall
Lane Mitchell,Freshman,Dr. Garcia
Reagan Carter,Senior,Ms. Clarke
Robin Garcia,Junior,Mrs. Anderson
Finley Scott,Sophomore,Mr. Brown
Quinn Thomas,Junior,Dr. Davis
Casey Green,Senior,Mr. Lewis
Shawn Lee,Freshman,Mrs. Hall
Blake Robinson,Sophomore,Ms. Foster
Harper Wright,Junior,Dr. Garcia
Shannon Taylor,Senior,Mr. Evans
Carter Davis,Sophomore,Ms. Clarke
